property_id,square_feet,bedrooms,bathrooms,age,garage_spaces,lot_size,pool,distance_to_city_center,neighborhood,price
1001,1850,3,2,12,2,0.25,0,5.2,Downtown,320000
1002,2400,4,3,5,2,0.3,1,7.8,Suburb,450000
1003,1100,2,1,40,1,0.15,0,3.1,Downtown,210000
1004,3200,5,4,2,3,0.5,1,12.5,Rural,580000
1005,1600,3,2,15,2,0.2,0,6.7,Suburb,275000
1006,2100,3,2.5,8,2,0.3,1,8.2,Suburb,370000
1007,950,1,1,25,0,0.1,0,2.5,Downtown,180000
1008,2800,4,3.5,3,3,0.4,1,10.1,Suburb,510000
1009,1400,2,2,18,1,0.2,0,5.8,Downtown,245000
1010,3500,5,4.5,1,3,0.6,1,15.3,Rural,680000
1011,1750,3,2,14,2,0.25,0,6.4,Suburb,310000
1012,2200,4,2.5,7,2,0.35,0,9.7,Suburb,390000
1013,1300,2,1.5,22,1,0.18,0,4.2,Downtown,230000
1014,3000,5,3.5,4,3,0.45,1,11.8,Rural,540000
1015,1550,3,2,16,1,0.22,0,7.5,Suburb,265000
1016,2050,3,2.5,9,2,0.28,1,8.6,Suburb,360000
1017,1050,2,1,30,1,0.12,0,2.9,Downtown,200000
1018,2600,4,3,6,2,0.38,1,9.5,Suburb,470000
1019,1200,2,1.5,20,1,0.15,0,5.1,Downtown,220000
1020,3300,5,4,3,3,0.55,1,14.2,Rural,610000
1021,1650,3,2,13,2,0.24,0,6.9,Suburb,285000
1022,2250,4,3,6,2,0.32,1,8.8,Suburb,410000
1023,1000,2,1,35,0,0.11,0,3.5,Downtown,190000
1024,2900,4,3.5,2,3,0.42,1,10.5,Suburb,530000
1025,1500,3,2,17,1,0.21,0,6.2,Downtown,255000
1026,3400,5,4,1,3,0.58,1,13.7,Rural,650000
1027,1700,3,2,11,2,0.26,0,7.1,Suburb,295000
1028,2300,4,2.5,5,2,0.33,1,9.3,Suburb,425000
1029,1150,2,1,28,1,0.14,0,4.5,Downtown,205000
1030,3100,5,3.5,2,3,0.48,1,12.9,Rural,570000
